id_area,lat,lon,declividade,irradiacao,potencial_mw,custo_conexao,area_protegida
0,-14.258324274924956,-51.020812404662784,0.0,4.074167572507505,200.7912746434599,441734380.0442673,0
1,-14.258324274924956,-50.97063727753939,0.0,4.074167572507505,200.7912746434599,439402749.4336607,0
2,-14.258324274924956,-50.920462150415986,0.0,4.074167572507505,200.7912746434599,437076546.8346045,0
3,-14.258324274924956,-50.87028702329259,0.0,4.074167572507505,200.7912746434599,434755861.4276644,0
4,-14.258324274924956,-50.820111896169195,0.0,4.074167572507505,200.7912746434599,432440784.1392072,0
5,-14.258324274924956,-50.76993676904579,0.0,4.074167572507505,200.7912746434599,430131407.67757756,0
6,-14.258324274924956,-50.719761641922396,0.0,4.074167572507505,200.7912746434599,427827826.56991816,0
7,-14.258324274924956,-50.669586514799,0.0,4.074167572507505,200.7912746434599,425530137.1996311,0
8,-14.258324274924956,-50.6194113876756,0.0,4.074167572507505,200.7912746434599,423238437.8444852,0
9,-14.258324274924956,-50.5692362605522,0.0,4.074167572507505,200.7912746434599,420952828.71536595,0
10,-14.258324274924956,-50.519061133428806,0.0,4.074167572507505,200.7912746434599,418673411.9956609,0
11,-14.258324274924956,-50.468886006305404,0.0,4.074167572507505,200.7912746434599,416400291.88128436,0
12,-14.258324274924956,-50.41871087918201,0.0,4.074167572507505,200.7912746434599,414133574.62133133,0
13,-14.258324274924956,-50.36853575205861,0.0,4.074167572507505,200.7912746434599,411873368.55935234,0
14,-14.258324274924956,-50.31836062493522,0.0,4.074167572507505,200.7912746434599,409619784.1752469,0
15,-14.258324274924956,-50.268185497811814,0.0,4.074167572507505,200.7912746434599,407372934.12775904,0
16,-14.258324274924956,-50.21801037068842,0.0,4.074167572507505,200.7912746434599,405132933.29757,0
17,-14.258324274924956,-50.16783524356502,0.0,4.074167572507505,200.7912746434599,402899898.8309661,0
18,-14.258324274924956,-50.11766011644162,0.0,4.074167572507505,200.7912746434599,400673950.18407416,0
19,-14.258324274924956,-50.067484989318224,0.0,4.074167572507505,200.7912746434599,398455209.16764355,0
20,-14.258324274924956,-50.01730986219483,0.0,4.074167572507505,200.7912746434599,396243799.9923504,0
21,-14.258324274924956,-49.967134735071426,0.0,4.074167572507505,200.7912746434599,394039849.3146089,0
22,-14.258324274924956,-49.91695960794803,0.0,4.074167572507505,200.7912746434599,391843486.28285956,0
23,-14.258324274924956,-49.866784480824634,0.0,4.074167572507505,200.7912746434599,389654842.58430463,0
24,-14.258324274924956,-49.81660935370123,0.0,4.074167572507505,200.7912746434599,387474052.492064,0
25,-14.258324274924956,-49.766434226577836,0.0,4.074167572507505,200.7912746434599,385301252.91271544,0
26,-14.258324274924956,-49.71625909945444,0.0,4.074167572507505,200.7912746434599,383136583.43417674,0
27,-14.258324274924956,-49.66608397233104,0.0,4.074167572507505,200.7912746434599,380980186.3738957,0
28,-14.258324274924956,-49.61590884520764,0.0,4.074167572507505,200.7912746434599,378832206.82729775,0
29,-14.258324274924956,-49.565733718084246,0.0,4.074167572507505,200.7912746434599,376692792.71644074,0
30,-14.258324274924956,-49.51555859096085,0.0,4.074167572507505,200.7912746434599,374562094.8388278,0
31,-14.258324274924956,-49.46538346383745,0.0,4.074167572507505,200.7912746434599,372440266.9163155,0
32,-14.258324274924956,-49.41520833671405,0.0,4.074167572507505,200.7912746434599,370327465.64405787,0
33,-14.258324274924956,-49.365033209590656,0.0,4.074167572507505,200.7912746434599,368223850.739413,0
34,-14.258324274924956,-49.314858082467254,0.0,4.074167572507505,200.7912746434599,366129584.9907453,0
35,-14.258324274924956,-49.26468295534386,0.0,4.074167572507505,200.7912746434599,364044834.30604064,0
36,-14.258324274924956,-49.21450782822046,0.0,4.074167572507505,200.7912746434599,361969767.7612482,0
37,-14.258324274924956,-49.16433270109706,0.0,4.074167572507505,200.7912746434599,359904557.6482619,0
38,-14.258324274924956,-49.114157573973664,0.0,4.074167572507505,200.7912746434599,357849379.52244323,0
39,-14.258324274924956,-49.06398244685027,0.0,4.074167572507505,200.7912746434599,355804412.2495773,0
40,-14.258324274924956,-49.013807319726865,0.0,4.074167572507505,200.7912746434599,353769838.05215687,0
41,-14.258324274924956,-48.96363219260347,0.0,4.074167572507505,200.7912746434599,351745842.554874,0
42,-14.258324274924956,-48.913457065480074,0.0,4.074167572507505,200.7912746434599,349732614.8291906,0
43,-14.258324274924956,-48.86328193835668,0.0,4.074167572507505,200.7912746434599,347730347.4368591,0
44,-14.258324274924956,-48.813106811233276,0.0,4.074167572507505,200.7912746434599,345739236.47224736,0
45,-14.258324274924956,-48.76293168410988,0.0,4.074167572507505,200.7912746434599,343759481.60332125,0
46,-14.258324274924956,-48.712756556986484,0.0,4.074167572507505,200.7912746434599,341791286.11112094,0
47,-14.258324274924956,-48.66258142986308,0.0,4.074167572507505,200.7912746434599,339834856.92756826,0
48,-14.258324274924956,-48.612406302739686,0.0,4.074167572507505,200.7912746434599,337890404.67142546,0
